LSOA,Disabled_Percentage
E01000743,22.8
E01000744,20.8
E01000745,13.7
E01000746,13.4
E01000747,14.2
E01000748,15.8
E01000749,18.3
E01000750,21.9
E01000751,12.1
E01000752,15.9
E01000753,13.5
E01000754,12.8
E01000755,13.3
E01000756,11.3
E01000757,12
E01000758,12.4
E01000759,12.1
E01000760,17.1
E01000761,12.4
E01000762,12.3
E01000763,10.7
E01000764,14
E01000765,12.2
E01000766,8.7
E01000767,12
E01000768,13.2
E01000769,17.2
E01000770,13.2
E01000771,11.6
E01000772,14.2
E01000773,11.9
E01000774,11.9
E01000775,11.7
E01000777,10.2
E01000778,13.8
E01000779,15.1
E01000780,15.3
E01000781,16.5
E01000782,21
E01000783,17.4
E01000784,11.9
E01000785,17.9
E01000786,17.4
E01000787,20
E01000788,16.3
E01000789,19.4
E01000790,12.2
E01000791,16.1
E01000792,13.7
E01000793,12.9
E01000794,13.7
E01000795,15.2
E01000796,18.2
E01000797,12.4
E01000798,18.5
E01000799,12.1
E01000800,16.6
E01000801,14.8
E01000802,13.4
E01000803,15.9
E01000804,12.2
E01000805,13.8
E01000806,12.8
E01000807,10.7
E01000808,14.2
E01000809,11.3
E01000810,11.4
E01000811,11.6
E01000812,14.2
E01000813,13.4
E01000814,10.5
E01000815,9.1
E01000816,13.7
E01000818,12.1
E01000819,17
E01000820,14.7
E01000822,13.1
E01000823,12.3
E01000824,12.3
E01000825,14.9
E01000826,9.3
E01000827,13
E01000828,12.5
E01000829,11.7
E01000830,9
E01000831,12.8
E01000832,13
E01000833,8.5
E01000834,9.3
E01000835,12.6
E01000836,10.3
E01000837,15.7
E01000838,15.5
E01000839,12.2
E01000840,19.3
E01000841,13.2
E01000842,9.5
E01000843,9.4
E01000844,10.6
E01000845,11.9
E01000846,15.3
E01000847,13.8
E01000848,11.7
E01000849,11.8
E01000850,11.1
E01000851,11.4
E01000853,25.8
E01000855,13.4
E01000856,16
E01000857,17
E01000858,19.6
E01000859,10.7
E01000860,19.3
E01000861,20.4
E01000862,11.9
E01000863,14.6
E01000866,19.1
E01000867,17
E01000868,17.5
E01000869,16.3
E01000870,17.9
E01000871,13
E01000872,15.7
E01000873,11.1
E01000874,11.4
E01000875,14.1
E01000876,15.8
E01000877,11.9
E01000878,11.2
E01000879,9.4
E01000880,8.9
E01000881,11.4
E01000882,6.5
E01000883,8.1
E01000884,9.5
E01000885,9.1
E01000886,13.1
E01000887,14.8
E01000888,16.9
E01000889,22.8
E01000890,21.9
E01000891,22.6
E01000892,16.4
E01000893,11.7
E01000894,9.6
E01000895,15.6
E01000896,8.5
E01000897,8.6
E01000898,17.4
E01000899,9.2
E01000900,17.8
E01000901,18.4
E01000902,21.2
E01000903,14.6
E01000904,18.4
E01000905,20.4
E01000906,12.1
E01000907,18.6
E01000908,22.1
E01000909,14.4
E01000910,12.5
E01000911,17.6
E01000912,21
E01000913,10.5
E01000914,14.3
E01000915,15.8
E01000916,14.8
E01000917,22.6
E01000918,17.9
E01000919,18.8
E01000920,15.7
E01000921,13
E01000922,16.5
E01000923,18.9
E01000924,15.6
E01000925,18.7
E01000926,14.3
E01000927,15.8
E01000928,16.2
E01000929,17.1
E01000930,17.4
E01000931,16.9
E01000932,16.6
E01000933,14.7
E01000934,20.4
E01000935,15.5
E01000937,14.8
E01000938,15.4
E01000939,16.7
E01000941,20.5
E01000942,14.9
E01000943,14.9
E01000944,18.6
E01000946,11.7
E01000947,15
E01000948,16.4
E01000949,17.4
E01000951,15.5
E01000952,20.8
E01000954,18.4
E01000955,20
E01000956,17.2
E01000957,15.6
E01000958,16
E01000959,19.6
E01000960,11.5
E01000961,14.6
E01000962,8.8
E01000963,10.1
E01000964,14.2
E01000965,12.2
E01000966,8.5
